@relation Electricity-board
@attribute ForkVA real
@attribute ForkW real
@attribute 'Type' {  0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@data
0.860207737177882,0.671407822707594,0
0.023491977517839,0.460829398664748,0
0.148424725850807,0.452872579182809,0
0.890657707097376,0.586097567399482,0
0.501960444672635,0.000237706114354,0
0.90477565578775,0.034502691310538,0
0.936455179328519,0.653073004699388,0
0.99467945756513,0.964460072122751,0
0.78915619743322,0.978524412088034,0
0.680960468588872,0.431550694684966,0
0.13614342534331,0.370115161548884,0
0.527914153425623,0.848430349910889,0
0.445734945751896,0.225664884623114,0
0.927216048560348,0.934207906698505,0
0.058218005712413,0.284682715620461,0
0.955855802522828,0.107572722618446,0
0.842980974896066,0.948160202752519,0
0.800989812336882,0.716421215057884,0
0.392073823342445,0.2194160035203,0
0.025483658893339,0.384956432358129,0
0.069801295901503,0.546551096934376,0
0.745044604349282,0.147311449266367,0
0.451892996579559,0.524249260818414,0
0.703720522446168,0.223112201162152,0
0.821678966374779,0.919946327724942,0
0.424613832539823,0.781812793417413,0
0.429517909732521,0.056444064241643,0
0.603570808892692,0.096494986506998,0
0.071339474175064,0.945977464564956,0
0.257067130992079,0.726117345102766,0
0.018764734976818,0.63806443356063,1
0.950528955958438,0.82659364375769,1
0.260873267185991,0.962736112634515,1
0.36032942549238,0.865111114424264,1
0.706731811503687,0.919947044902023,1
0.466868935168054,0.2123468253395,1
0.417924126068028,0.766891938663672,1
0.699353716274379,0.983353489495664,1
0.365768709562255,0.317167661681908,1
0.206071932156425,0.454891314511589,1
0.977691413552921,0.476648339825728,1
0.167570979190766,0.027820567015124,1
0.183621774460537,0.272065179513763,1
0.259434617154695,0.902551161478816,1
0.333932225440683,0.269075820123056,1
0.229008827865873,0.923217827383658,1
0.034477335922885,0.273626979763157,1
0.320678469889655,0.295694708343651,1
0.664986880508353,0.014934269485187,1
0.596743519832689,0.268268030322373,1
0.291599579282441,0.771183106102438,1
0.006291265813392,0.268458515560723,1
0.474304655057718,0.162519328196901,1
0.24202554494495,0.576728590315804,1
0.487521823692688,0.235792743745507,1
0.834255364285121,0.768044904478029,1
0.332285605658434,0.740488106203316,1
0.205499977101211,0.760786904741118,1
0.254991066532731,0.641654513843111,1
0.095847306685003,0.399064687633688,1
0.600250841647573,0.354389401725971,1
0.376685804746309,0.762235445533369,2
0.811196313330435,0.898910184166389,2
0.198396678413141,0.827732835435868,2
0.677817618798001,0.038642745954871,2
0.60345255841629,0.827610501301449,2
0.591090996743074,0.650815507921124,2
0.783921109166868,0.755669725406593,2
0.741430692641447,0.654797567773048,2
0.433531343001121,0.125032970429307,2
0.263660653840248,0.275999984843932,2
0.960403528077073,0.998744350106583,2
0.781766973054253,0.778812042016564,2
0.39549657580107,0.952081373436516,2
0.198349123674332,0.434683782886306,2
0.545262751011998,0.763986016551846,2
0.379257454578017,0.368647353825875,2
0.695367988759796,0.54833087240893,2
0.721858899570355,0.234961395129346,2
0.806382601698889,0.191978064886912,2
0.456823427030516,0.434174409019442,2
0.493032381315559,0.882415589769513,2
0.941574026441825,0.593282635628121,2
0.512681648278492,0.958941056598879,2
0.411601350653641,0.584406707600148,2
0.985149131097884,0.360614587311602,2
0.093201025349248,0.338813127872971,2
0.232127489050146,0.680892668492426,2
0.250873112384399,0.985316173148841,2
0.569917787494066,0.043495259153043,2
0.589838957390932,0.036941536493246,2
0.123015932590044,0.217881735505975,2
0.38598569643973,0.201268020665982,2
0.844434468305445,0.234314931596554,2
0.839048799945588,0.000662334703686,2
0.769590577695134,0.503860439523312,2
0.847341488918786,0.522525651353237,2
0.907368976934757,0.611988679048792,2
0.100553962478637,0.200709451017338,2
0.391135302425418,0.101659841601211,3
0.657807558261855,0.876255979415002,3
0.2176517251127,0.631433663695671,3
0.742985408015582,0.104054345326143,3
0.471401370075392,0.565140313022015,3
0.874713590083926,0.07156052408299,3
0.725868867210353,0.783263404711627,3
